question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,prom46_score,extracted_prom46_score,infosel_logit
Which American-born Sinclair won the Nobel Prize for Literature in 1930?,'(Harry) Sinclair Lewis',"Sinclair Lewis
","['Sin', 'clair', ' Lewis', '', '\n', '']","[0.9991625413999282, 0.9999564905017542, 0.9993819244472053, 0.8427783683347237, 0.9321978549782681, 0.9999862911193472]",0.9603452159286008,Sinclair Lewis,"['Sin', 'clair', 'Lewis']",0.9995002627271308,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly identify the American-born Sinclair who won the Nobel Prize for Literature in 1930 as Sinclair Lewis. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0,0.0
Where in England was Dame Judi Dench born?,'Park Grove (1895)',"York
","['York', '', '\n', '']","[0.998759618084844, 0.9768286676481583, 0.8805939100033777, 0.9999787811971367]",0.9627454136607854,York,['York'],0.998759618084844,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer specifies the exact location of Dame Judi Dench's birth, which is 'Park Grove (1895)'. The response only mentions York, which is a city in England but does not provide the specific location of her birth. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0,0.0
In which decade did Billboard magazine first publish and American hit chart?,"""30's""","1940s
","['1', '9', '4', '0', 's', '', '\n', '']","[0.9998274147444407, 0.9998150214063197, 0.9692557454920743, 0.9999207321075279, 0.9861214751403535, 0.8986517861548642, 0.9795580533899779, 0.9999872447683118]",0.9785868921027469,1940s,"['1', '9', '4', '0', 's']",0.9909136578653244,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that Billboard magazine first published an American hit chart in the 30's, while the response suggests it was in the 1940s. This discrepancy indicates that the response does not meet the criteria for a score of 1, as it does not accurately reflect the information presented in the reference answer. Therefore, the appropriate score for this response is 0. [RESULT] 0""}",0.0,0.0
From which country did Angola achieve independence in 1975?,'Portogało',Portugal,"['Portugal', '', '']","[0.9999766355250501, 0.8473153069902326, 0.060078569640484455]",0.3706108786187737,Portugal,['Portugal'],0.99997663552505,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate that Angola achieved independence from Portugal in 1975. The response correctly identifies the country from which Angola gained independence, which aligns with the instruction provided. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0,0.0
Which city does David Soul come from?,'Chi-Beria',"Chicago
","['Chicago', '', '\n', '']","[0.9997182686308644, 0.9789061475356254, 0.9397644344870972, 0.9999859335019021]",0.9792822777531676,Chicago,['Chicago'],0.9997182686308644,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is a fictional city name, 'Chi-Beria', which is a playful combination of the name of a real city, Chicago, and the word 'Beria'. The response provided is simply 'Chicago', which is a real city name and not a fictional one. Therefore, the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. [RESULT] 0""}",0.0,0.0
Who won Super Bowl XX?,'Chicago Bears',Bears,"['Bears', '', '']","[0.981582273570275, 0.9198454645445722, 0.5619376054362734]",0.7975842296281234,Bears,['Bears'],0.9815822735702752,"{0: ""\n        The response 'Bears' is not semantically equivalent to the reference answer 'Chicago Bears'. The response does not specify which team named Bears is being referred to. The reference answer specifies the Chicago Bears, which is a specific football team that won Super Bowl XX. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0,0.0
Which was the first European country to abolish capital punishment?,'Norvège',"San Marino
","['San', ' Marino', '', '\n', '']","[0.5863016362949824, 0.9993712089895671, 0.84481088939779, 0.7307011807563599, 0.9999892712787918]",0.8159593410278583,San Marino,"['San', 'Marino']",0.7654625889595638,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that Norway was the first European country to abolish capital punishment, while the response provided is San Marino. These two countries are different, and therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0,0.0
In which country did he widespread use of ISDN begin in 1988?,'日本國',"Germany
","['Germany', '', '\n', '']","[0.8346624526597005, 0.9594803347250668, 0.9463984460146088, 0.9999922514562127]",0.9330488933723932,Germany,['Germany'],0.8346624526597005,"{0: '\n        The response and reference answer are not semantically equivalent. The reference answer states that the widespread use of ISDN began in Japan in 1988, while the response indicates that it started in Germany. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0,0.0
What is Bruce Willis' real first name?,'Walter (TV Series)',"Walter
","['Walter', '', '\n', '']","[0.9994572963848027, 0.9839688513047873, 0.8352688861094228, 0.9999753242852847]",0.95200733650374,Walter,['Walter'],0.9994572963848029,"{0: ""\n        The response and reference answer are not semantically equivalent. The reference answer is a TV series, while the response is a person's name. The instruction asks for Bruce Willis' real first name, which is Walter. The response correctly identifies Bruce Willis' real first name, but it does not match the reference answer because the reference answer is not a person's name. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0,0.0
Which William wrote the novel Lord Of The Flies?,'Golding',"Golding
","['Gold', 'ing', '', '\n', '']","[0.9996663253757535, 0.9999927282861518, 0.877546562074692, 0.9912634991947843, 0.9999871255623689]",0.9724362041969856,Golding,"['Gold', 'ing']",0.9998295135113244,"{1: ""\n        The response 'Golding' is semantically equivalent to the reference answer 'Golding', which is the correct answer to the instruction 'Which William wrote the novel Lord Of The Flies?'. Therefore, the response meets the criteria for a score of 1. [RESULT] 1""}",1.0,0.0
