question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
total number of death row inmates in the us,"'2,718'","Guess: 2500
Probability: 0.8","['Guess', ':', ' ', '2', '5', '0', '0', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9999977350285647, 1.0, 1.0, 0.40369539530381116, 0.9771852863228394, 0.9999965429424904, 1.0, 1.0, 0.9999996423722521, 1.0, 1.0, 1.0, 1.0, 0.11456071949774084, 0.999447174672272]",0.8134326058147906,2500,"['2', '5', '0', '0']",0.7925146577697852,0.8,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that there are 2,718 death row inmates in the US, while the response provided is 2500. This discrepancy indicates that the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. Therefore, the response should be scored as 0. [RESULT] 0'}",0.0
big little lies season 2 how many episodes,'seven',"Guess: 7
Probability: 1.0","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.9999963045256735, 1.0, 1.0, 0.999290374204881, 1.0, 0.9999996423722521, 1.0, 1.0, 0.9914224771982878, 1.0, 1.0, 1.0]",0.9992229310511332,7,['7'],0.9992903742048812,1.0,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate the number of episodes in Big Little Lies Season 2 is seven. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
who sang waiting for a girl like you,'Foreigner',"Guess: Foreigner
Probability: 0.95","['Guess', ':', ' Foreign', 'er', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', '']","[0.9999949932351058, 1.0, 0.9999245462113941, 1.0, 1.0, 0.9999996423722521, 1.0, 1.0, 0.9820137577607906, 1.0, 0.9999831917733144, 0.9913930675956643, 1.0]",0.9979335399088924,Foreigner,"['Foreign', 'er']",0.999962272394011,0.95,"{1: ""\n        The response 'Foreigner' is semantically equivalent to the reference answer 'Foreigner'. Both answers correctly identify the band that sang the song 'Waiting for a Girl Like You'. Therefore, the response meets the criteria for a score of 1. [RESULT] 1""}",1.0
where do you cross the arctic circle in norway,'Saltfjellet',"Guess: Near Tromsø
Probability: 0.8","['Guess', ':', ' Near', ' Trom', 's', 'ø', '\n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9999967813595916, 1.0, 0.3959450121224278, 0.8515191431376378, 0.9890130589396959, 0.9999860527077029, 0.9999971389852362, 0.9999994039539004, 1.0, 1.0, 1.0, 1.0, 0.6770222800250485, 0.9997965511486373]",0.8991332710518307,Near Tromsø,"['Near', 'Trom', 's', 'ø']",0.7598997738275545,0.8,"{0: '\n        The response ""Near Tromsø"" does not provide the exact location of crossing the Arctic Circle in Norway. The reference answer ""Saltfjellet"" is the correct location. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
who is the main character in green eggs and ham,'Sam-I-am',"Guess: Sam-I-am
Probability: 1.0","['Guess', ':', ' Sam', '-I', '-am', '\n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.9999938011552557, 1.0, 0.9996708523145819, 0.9770178687599095, 0.6791786964925156, 1.0, 0.9999997615814777, 1.0, 1.0, 0.377540667992942, 1.0, 1.0, 1.0]",0.8989726988508884,Sam-I-am,"['Sam', '-I', '-am']",0.8721299422145737,1.0,"{1: ""\n        The response 'Sam-I-am' is semantically equivalent to the reference answer 'Sam-I-am', which means that the response correctly identifies the main character in Green Eggs and Ham. Therefore, the response meets the criteria for a score of 1. [RESULT] 1""}",1.0
do veins carry blood to the heart or away,'to',"Guess: To the heart
Probability: 1.0","['Guess', ':', ' To', ' the', ' heart', '\n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.9999883176260757, 1.0, 0.9951707818633767, 0.9999997615814777, 0.9999997615814777, 0.9999977350285647, 0.9999997615814777, 1.0, 1.0, 0.377540667992942, 1.0, 1.0, 1.0]",0.9274628816957624,To the heart,"['To', 'the', 'heart']",0.9983875036962911,1.0,"{1: '\n        The response ""To the heart"" is semantically equivalent to the reference answer ""to"". Both indicate that veins carry blood towards the heart. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
who played charlie bucket in the original charlie and the chocolate factory,'Peter Gardner[4] Ostrum',"Guess: Peter Ostrum
Probability: 0.95","['Guess', ':', ' Peter', ' O', 'str', 'um', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', '']","[0.9999960661089133, 1.0, 0.9999755626925523, 0.9999629272857378, 0.9998224097038694, 1.0, 1.0, 0.9999997615814777, 1.0, 1.0, 0.8519528492100928, 1.0, 0.9999994039539004, 0.9996268949808783, 1.0]",0.9893345400159738,Peter Ostrum,"['Peter', 'O', 'str', 'um']",0.9999402225180772,0.95,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly identify Peter Ostrum as the actor who played Charlie Bucket in the original Charlie and the Chocolate Factory. The difference in the reference answer is the inclusion of the middle name, which does not affect the semantic equivalence of the two answers. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
what is 1 radian in terms of pi,'1/2π',"Guess: pi/4
Probability: 0.3

Guess: 1
Probability: 0.1

Guess: pi/2
Probability: 0.2

Guess: 2*pi/360
Probability: 0.4","['Guess', ':', ' pi', '/', '4', '\n', 'Probability', ':', ' ', '0', '.', '3', '\n\n', 'Guess', ':', ' ', '1', '\n', 'Probability', ':', ' ', '0', '.', '1', '\n\n', 'Guess', ':', ' pi', '/', '2', '\n', 'Probability', ':', ' ', '0', '.', '2', '\n\n', 'Guess', ':', ' ', '2', '*pi', '/', '3', '6', '0', '\n', 'Probability', ':', ' ', '0', '.', '4', '']","[0.9999938011552557, 1.0, 0.9992353806507549, 0.9999974966112362, 0.5564360117270586, 0.9999996423722521, 0.9999995231630692, 1.0, 1.0, 1.0, 1.0, 0.11802954360560171, 0.4999736544887925, 0.9971150185937813, 1.0, 0.9999938011552557, 0.9999971389852362, 0.9964781303797129, 0.9999998807907248, 1.0, 1.0, 1.0, 1.0, 0.4377732157151756, 1.0, 0.9999970197767496, 1.0, 0.9706737302105207, 0.9999005893344577, 0.9998976097084851, 1.0, 0.9999998807907248, 1.0, 1.0, 1.0, 1.0, 0.9932991508180532, 0.9999990463265931, 0.999994397195003, 1.0, 0.9924031295365824, 0.9890108437202737, 0.9259075968912841, 0.008577399039570019, 0.7529227285754942, 0.9999744898630244, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999990463265931, 1.0, 0.9960790244109643, 0.9858888725688633]",0.8422483604823551,pi4,"['pi', '4']",0.7456611495752447,0.3,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer correctly states that 1 radian is equal to '1/2π', while the response provided is 'pi4'. This is incorrect as 'pi4' is not equivalent to '1/2π'. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
when does season 5 of bates motel come out,"'February 20, 2017'","Guess: March 2017
Probability: 0.9","['Guess', ':', ' March', ' ', '2', '0', '1', '7', '\n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9999973774024795, 1.0, 0.6182371352697515, 1.0, 0.9990774567281643, 0.9999969005680498, 0.9241413992763046, 0.9999990463265931, 1.0, 0.9999998807907248, 1.0, 1.0, 0.9975274099865514, 1.0, 0.9947629313086273, 0.998498789497875]",0.965006205398526,March 2017,"['March', '2', '0', '1', '7']",0.8939190298372862,0.9,"{0: '\n        The response provided is close to the reference answer, but it is not exactly the same. The reference answer states that season 5 of Bates Motel came out on February 20, 2017, while the response states that it came out in March 2017. This discrepancy in the month means that the response and reference answer are not semantically equivalent, and therefore, the response does not meet the criteria for a score of 1. However, the response is still relatively accurate, as it correctly identifies the year and the fact that the season came out in the first quarter of the year. [RESULT] 0'}",0.0
how many episodes are in series 7 game of thrones,'seven',"Guess: 7
Probability: 1.0","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.9999970197767496, 1.0, 1.0, 1.0, 1.0, 0.9999997615814777, 1.0, 1.0, 0.9859363803758087, 1.0, 1.0, 1.0]",0.9988201409106294,7,['7'],1.0,1.0,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly state that there are seven episodes in series 7 of Game of Thrones. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
