question,target,response,ans_tok,tok_prob,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
total number of death row inmates in the us,"'2,718'","Guess: 2500
Probability: 0.40 
","['Guess', ':', ' ', '2', '5', '0', '0', '\n', 'Probability', ':', ' ', '0', '.', '4', '0', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9992810891527284, 0.9999865295319579, 0.9982811007106709, 0.9919522653190508, 0.9447239181594478, 0.9996953938783856, 0.9997099287521741, 0.8650681213030283, 0.9999860527077029, 0.9999977350285647, 0.9998755609865043, 0.9999767547297426, 0.9999995231630692, 0.37313735971454576, 0.1013024222273148, 0.8759735152209206, 0.9999167988406579, 0.9999436171854099, 0.6368171798206401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8070770502090454,2500,"['2', '5', '0', '0']",0.9837490935708342,0.4,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that there are 2,718 death row inmates in the US, while the response provided is 2500. This discrepancy indicates that the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. Therefore, the response should be scored as 0. [RESULT] 0'}",0.0
big little lies season 2 how many episodes,'seven',"Guess: 7
Probability: 0.9 
","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9987008781144736, 0.9999864103261001, 0.9991335038901394, 0.9980661193215623, 0.9418694858571584, 0.9999753242852847, 0.9999934435319416, 0.9998827118136593, 0.9995573335167512, 0.9999985694905718, 0.6546535774502817, 0.29270461368657724, 0.9994321711534908, 0.9998953451992664, 0.8804011183265368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8842702507972717,7,['7'],0.9980661193215624,0.9,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate the number of episodes in Big Little Lies Season 2 is seven. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
who sang waiting for a girl like you,'Foreigner',"Guess: Foreigner
Probability: 0.95 
","['Guess', ':', ' Foreign', 'er', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9975850629049793, 0.9999588744847933, 0.34380239262720313, 0.9999064294658248, 0.7642988630271984, 0.9999676953245701, 0.9999907017622998, 0.9997886865966394, 0.9994676564332926, 0.9999986886995842, 0.9805863122418186, 0.8859658290480285, 0.9292126022281397, 0.9998694828589156, 0.9999226391540048, 0.8349815588485768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.897264301776886,Foreigner,"['Foreign', 'er']",0.5863192158318489,0.95,"{1: ""\n        The response 'Foreigner' is semantically equivalent to the reference answer 'Foreigner', which means that the response correctly identifies the band that sang 'Waiting for a Girl Like You'. Therefore, the response meets the criteria for a score of 1. [RESULT] 1""}",1.0
where do you cross the arctic circle in norway,'Saltfjellet',"Guess: North Cape 
Probability: 0.8 
","['Guess', ':', ' North', ' Cape', ' ', '\n', 'Probability', ':', ' ', '0', '.', '8', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9983053365259231, 0.999961735281401, 0.6399582540322776, 0.9431478663249434, 0.1456959604003846, 0.998640837425835, 0.9999625696857427, 0.9999930859092101, 0.9996035479401093, 0.999686458709013, 0.9999988079084972, 0.35322344951435475, 0.43826394053706086, 0.9996004509540348, 0.9998834269057351, 0.4685168085863055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7289111018180847,North Cape,"['North', 'Cape']",0.7769010630882022,0.8,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is 'Saltfjellet', which is a mountain range in Norway where the Arctic Circle crosses. On the other hand, North Cape is a cape located on the northern coast of Norway, but it is not the location where the Arctic Circle crosses. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
who is the main character in green eggs and ham,'Sam-I-am',"Guess: Sam-I-Am
Probability: 0.999 
","['Guess', ':', ' Sam', '-', 'I', '-', 'Am', '\n', 'Probability', ':', ' ', '0', '.', '9', '9', '9', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9991202947271239, 0.9999649536978266, 0.7265489684988813, 0.42449991582320157, 0.9997432891208256, 0.9999996423722521, 0.9953776674644775, 0.7747773478312466, 0.9999774699527388, 0.9999946356109106, 0.9998651924758162, 0.9241351886754131, 0.9999955892755636, 0.998883303704254, 0.8878333313734265, 0.25082578152629365, 0.9103913400641315, 0.9997671192939102, 0.9999188250646881, 0.7977694460896022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8462183475494385,Sam-I-Am,"['Sam', '-', 'I', '-', 'Am']",0.7895938313268002,0.999,"{1: ""\n        The response 'Sam-I-Am' is semantically equivalent to the reference answer 'Sam-I-am'. The difference in capitalization does not affect the meaning of the response. Therefore, the response correctly identifies the main character in Green Eggs and Ham. [RESULT] 1""}",1.0
do veins carry blood to the heart or away,'to',"Guess: To the heart 
Probability: 0.99 
","['Guess', ':', ' To', ' the', ' heart', ' ', '\n', 'Probability', ':', ' ', '0', '.', '9', '9', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9988171755939065, 0.9999843838268749, 0.17303106338780438, 0.877154016026832, 0.9900104472980169, 0.22176891327237705, 0.9995106470114304, 0.9999511265788859, 0.9999936819476217, 0.9995806784017321, 0.9923588701622611, 0.9999903441405488, 0.35196369691398255, 0.3061193217925861, 0.7413899019466617, 0.9997706939168748, 0.9998829501824777, 0.797776352868036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7099983096122742,To the heart,"['To', 'the', 'heart']",0.5316345985001351,0.99,"{1: '\n        The response ""To the heart"" is semantically equivalent to the reference answer ""to"". Both indicate that veins carry blood towards the heart. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
who played charlie bucket in the original charlie and the chocolate factory,'Peter Gardner[4] Ostrum',"Guess: Peter Ostrum
Probability: 0.999 
","['Guess', ':', ' Peter', ' O', 'strum', '\n', 'Probability', ':', ' ', '0', '.', '9', '9', '9', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9951309973046483, 0.9999451667326905, 0.9208389461741605, 0.9984684832545849, 0.9983045048699966, 0.7928155745590504, 0.9999763971175268, 0.9999932051167731, 0.9996789532924649, 0.9966128548429525, 0.9999988079084972, 0.9984476858768631, 0.9099218779328402, 0.40369784964757666, 0.8709962076898615, 0.9997406678623592, 0.999929671466158, 0.8930013276171702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.915903389453888,Peter Ostrum,"['Peter', 'O', 'strum']",0.9718375833931362,0.999,"{0: ""\n        The response correctly identifies the actor who played Charlie Bucket in the original Charlie and the Chocolate Factory. However, the response does not include the full name of the actor, which is 'Peter Gardner Ostrum'. According to the score rubric, the response and reference answer to the instruction must be semantically equivalent. In this case, the response is missing the middle name of the actor, which makes it not semantically equivalent to the reference answer. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
what is 1 radian in terms of pi,'1/2π',"Guess: 180/pi
Probability: 0.95 
","['Guess', ':', ' ', '1', '8', '0', '/', 'pi', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9972521677883448, 0.9999413524701387, 0.5245896613878339, 0.9887274618263199, 0.984955854333225, 0.9999549409187368, 0.9952403244373514, 0.9627013545267431, 0.8892992784115927, 0.999949934606805, 0.9999939203633587, 0.9994027607145949, 0.9911585569572298, 0.9999552985160038, 0.32900599201633235, 0.28319257069169895, 0.8984006872697208, 0.9997622340125313, 0.9998800898331569, 0.9359461155926488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8440372347831726,180pi,"['1', '8', '0', 'pi']",0.9839914935802976,0.95,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer correctly states that 1 radian is equal to 1/2π, while the response incorrectly states that 1 radian is equal to 180π. This is a significant error, as 180π is approximately 565.49 radians, which is far from the correct value of 1 radian. Therefore, the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. [RESULT] 0'}",0.0
when does season 5 of bates motel come out,"'February 20, 2017'","Guess: Not available
Probability: 0.0 

","['Guess', ':', ' Not', ' available', '\n', 'Probability', ':', ' ', '0', '.', '0', ' ', '\n', '<end_of_turn>', '\n', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9975633534809809, 0.9999722250068928, 0.027586366448350684, 0.035100572102512426, 0.5434183584077285, 0.9999588744847933, 0.999968291333751, 0.9997005167584233, 0.9992350235872149, 0.9999314593576598, 0.9442045701523696, 0.8097047027871412, 0.9991119648382824, 0.9999092899632481, 0.7182200877391276, 0.9999698409592841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6007204651832581,Not available,"['Not', 'available']",0.0311174749066607,0.0,"{0: '\n        The response provided is not available, which does not provide any information regarding the release date of season 5 of Bates Motel. The reference answer, however, clearly states the release date as February 20, 2017. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
how many episodes are in series 7 game of thrones,'seven',"Guess: 7
Probability: 0.95 
","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', ' ', '\n', '<end_of_turn>', '<eos>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9991703961411466, 0.9999855758836754, 0.9996355908206548, 0.999120532761524, 0.9512418442112133, 0.9999748474727391, 0.9999939203633587, 0.9996891987939149, 0.9968050600832226, 0.9999955892755636, 0.8966209423272756, 0.5744056653008593, 0.9040517926931183, 0.9998376633096938, 0.9999020195665176, 0.7182496695422749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9305756092071532,7,['7'],0.999120532761524,0.95,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly state that there are seven episodes in series 7 of Game of Thrones. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
