question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
total number of death row inmates in the us,"'2,718'","Guess: 2500
Probability: 0.2 

","['Guess', ':', ' ', '2', '5', '0', '0', '\n', 'Probability', ':', ' ', '0', '.', '2', ' ', '\n', '', '\n', '']","[0.9998873599103809, 0.9999938011552557, 0.9993950214223428, 0.9994677755209523, 0.5083545824516935, 0.9998644774040562, 0.9999188250646881, 0.9852994529572793, 0.9999443323610593, 0.9999892712787918, 0.9999282411581684, 0.999990820968669, 0.9999980926550052, 0.04831586989586097, 0.19694674803646647, 0.9905437557987642, 0.9999920130413283, 0.9946896813753943, 0.9999423060344126]",0.7540864664149981,2500,"['2', '5', '0', '0']",0.8442291736133759,0.2,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that there are 2,718 death row inmates in the US, while the response provided is 2500. This discrepancy indicates that the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. Therefore, the response should be scored as 0. [RESULT] 0'}",0.0
big little lies season 2 how many episodes,'seven',"Guess: 7
Probability: 0.9
","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '0', '.', '9', '', '\n', '']","[0.9997969086310661, 0.9999915362117303, 0.9996673975237169, 0.9999524377560001, 0.9957188851331675, 0.9999721058045592, 0.9999912977979261, 0.9999679337281998, 0.979661698044335, 0.9999992847447459, 0.9498799138247375, 0.055829427287822586, 0.966860125199629, 0.9999988079084972]",0.8073440037313918,7,['7'],0.9999524377560002,0.9,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate the number of episodes in Big Little Lies Season 2 is seven. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
who sang waiting for a girl like you,'Foreigner',"Guess: Foreigner
Probability: 0.95
","['Guess', ':', ' Foreign', 'er', '\n', 'Probability', ':', ' ', '0', '.', '9', '5', '', '\n', '']","[0.9998930807024512, 0.9999836685934766, 0.993426075541002, 0.9999789004002659, 0.9783425030412212, 0.9999581592914675, 0.9999787811971367, 0.9999195402044174, 0.9902861481779522, 0.9999992847447459, 0.9946288244398923, 0.9583157169986657, 0.8160072155779321, 0.9913799447237626, 0.9999982118638471]",0.9802969616898388,Foreigner,"['Foreign', 'er']",0.9966971027591296,0.95,"{1: ""\n        The response 'Foreigner' is semantically equivalent to the reference answer 'Foreigner', which means that the response correctly identifies the band that sang 'Waiting for a Girl Like You'. Therefore, the response meets the criteria for a score of 1. [RESULT] 1""}",1.0
where do you cross the arctic circle in norway,'Saltfjellet',"Guess: North Cape
Probability: 0.9 

","['Guess', ':', ' North', ' Cape', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '', '\n', '']","[0.9995079078813598, 0.9999549409187368, 0.9606552680177857, 0.9923048716484574, 0.9827000853069539, 0.9999475506632682, 0.9999818805158572, 0.9999200169669462, 0.999586395708182, 0.9999984502816872, 0.05753176972275355, 0.6471613758794322, 0.9967951105733166, 0.9999927282861518, 0.9953279457949279, 0.9999904633477849]",0.8103357220152393,North Cape,"['North', 'Cape']",0.976351833320757,0.9,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is 'Saltfjellet', which is a mountain range in Norway where the Arctic Circle crosses. On the other hand, North Cape is a cape located on the northern coast of Norway, but it is not the location where the Arctic Circle crosses. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
who is the main character in green eggs and ham,'Sam-I-am',"Guess: Sam-I-Am
Probability: 1.0 

","['Guess', ':', ' Sam', '-', 'I', '-', 'Am', '\n', 'Probability', ':', ' ', '1', '.', '0', ' ', '\n', '', '\n', '']","[0.9996853864824171, 0.9999901057270287, 0.9994376485988038, 0.3432830206675307, 0.999746386956795, 0.9999930859092101, 0.993876279521847, 0.9883870585791174, 0.9999511265788859, 0.9999812844913009, 0.9999563713049341, 0.9465905688932835, 0.9999927282861518, 0.9999951124428961, 0.31996038847742864, 0.9978616759735521, 0.9999920130413283, 0.9902170619820903, 0.9999967813595916]",0.8862333808927788,Sam-I-Am,"['Sam', '-', 'I', '-', 'Am']",0.8063534322539604,1.0,"{1: ""\n        The response 'Sam-I-Am' is semantically equivalent to the reference answer 'Sam-I-am', which means they have the same meaning. The difference in capitalization does not affect the meaning of the response. Therefore, the response meets the criteria for a score of 1. [RESULT] 1""}",1.0
do veins carry blood to the heart or away,'to',"Guess: to the heart
Probability: 1.0
","['Guess', ':', ' to', ' the', ' heart', '\n', 'Probability', ':', ' ', '1', '.', '0', '', '\n', '']","[0.9998942725376461, 0.9999923706636762, 0.8922724017020794, 0.9774760984593657, 0.9999002317785811, 0.9910402887049756, 0.9999613776818322, 0.9999818805158572, 0.9999158453261718, 0.8670150371057052, 0.9999736554414603, 0.9999886752461924, 0.7294396206905696, 0.9858897990134866, 0.9999984502816872]",0.9596021934523932,to the heart,"['to', 'the', 'heart']",0.9554033476659126,1.0,"{1: '\n        The response ""to the heart"" is semantically equivalent to the reference answer ""to"". Both indicate that veins carry blood towards the heart. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
who played charlie bucket in the original charlie and the chocolate factory,'Peter Gardner[4] Ostrum',"Guess: Peter Ostrum
Probability: 1.0
","['Guess', ':', ' Peter', ' O', 'strum', '\n', 'Probability', ':', ' ', '1', '.', '0', '', '\n', '']","[0.999901781193153, 0.9999914170043663, 0.9990773377451655, 0.9988334690124372, 0.9839483078343338, 0.9883366354025265, 0.999968052930036, 0.9999847414437658, 0.9999408756865238, 0.9796586087269542, 0.9999856950894336, 0.9999923706636762, 0.620406115125389, 0.9902531819765957, 0.9999977350285647]",0.9647709650342426,Peter Ostrum,"['Peter', 'O', 'strum']",0.9939277722538872,1.0,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly identify Peter Ostrum as the actor who played Charlie Bucket in the original Charlie and the Chocolate Factory. The difference in the reference answer is the inclusion of the middle name, which does not affect the semantic equivalence of the two answers. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
what is 1 radian in terms of pi,'1/2π',"Guess: pi/180
Probability: 0.2
","['Guess', ':', ' pi', '/', '1', '8', '0', '\n', 'Probability', ':', ' ', '0', '.', '2', '', '\n', '']","[0.9997541317051011, 0.9999901057270287, 0.9227903313625082, 0.9984060938157504, 0.9929584132566986, 0.9995252956464505, 0.9999445707518435, 0.9829317616109541, 0.9999508881865387, 0.9999885560391694, 0.9999047608461068, 0.9859076431128002, 0.9999878408000586, 0.0561162901230251, 0.1703282610108896, 0.866721916672462, 0.9999929667012066]",0.7489338672738554,pi180,"['pi', '1', '8', '0']",0.9782524695380592,0.2,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer correctly states that 1 radian is equal to '1/2π', while the response provided is 'pi180', which does not convey the same meaning. The response seems to be a mix of symbols and numbers, but it does not represent the correct conversion of 1 radian to terms of pi. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
when does season 5 of bates motel come out,"'February 20, 2017'","Guess: February 20, 2017
Probability: 0.8 

","['Guess', ':', ' February', ' ', '2', '0', ',', ' ', '2', '0', '1', '7', '\n', 'Probability', ':', ' ', '0', '.', '8', ' ', '\n', '', '\n', '']","[0.9999019003761905, 0.9999464778947144, 0.9520203131214869, 0.9963898333607193, 0.9991683728949753, 0.9991542108099161, 0.9222203918448186, 0.997352594000195, 0.9999729402230113, 0.9999946356109106, 0.9999398029324066, 0.9997360211385866, 0.9828768265686905, 0.9999618544824983, 0.9999827149515605, 0.9998446944204135, 0.9840713533009309, 0.9999970197767496, 0.6752510973485851, 0.5740007130219731, 0.9950382176433261, 0.9999941587791524, 0.9932221176081848, 0.9999811652878874]",0.9539390845804836,"February 20, 2017","['February', '2', '0', ',', '2', '0', '1', '7']",0.9836138980497554,0.8,"{1: '\n        The response and reference answer are semantically equivalent, both indicating the release date of season 5 of Bates Motel as February 20, 2017. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
how many episodes are in series 7 game of thrones,'seven',"Guess: 7
Probability: 1.0
","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '1', '.', '0', '', '\n', '']","[0.999784396894854, 0.9999918938339075, 0.9998744883679332, 0.9957887409828411, 0.994096174554474, 0.9999675761227764, 0.999989509692113, 0.9999586360869612, 0.8932968863173141, 0.9999632848858608, 0.9999896288992496, 0.8332909103000659, 0.9840329128846756, 0.9999955892755636]",0.977267286571194,7,['7'],0.9957887409828412,1.0,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate the number of episodes in series 7 of Game of Thrones is seven. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
