question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
total number of death row inmates in the us,"'2,718'","Guess: 2,400 
Probability: 0.8","['Guess', ':', ' ', '2', ',', '400', ' \n', 'Probability', ':', ' ', '0', '.', '8', '']","[0.9777460021940293, 0.9999927282861518, 0.979576240863175, 0.8496881159744232, 0.9999443323610593, 0.9106226949799181, 0.40487131206302523, 0.9999786619922026, 0.9999898673126559, 0.9999543449247887, 0.9988274035422652, 0.9999991655356624, 0.5265543652799953, 0.9999824765407688]",0.876430415808753,"2,400","['2', ',', '400']",0.918032266246439,0.8,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that there are 2,718 death row inmates in the US, while the response provided is 2,400. This discrepancy indicates that the response does not meet the criteria for a score of 1, as it does not accurately reflect the total number of death row inmates in the US. Therefore, the response should be scored as 0. [RESULT] 0'}",0.0
big little lies season 2 how many episodes,'seven',"Guess: 7
Probability: 1.0","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.8660737921108864, 0.9999938011552557, 0.9998679335453171, 0.9963588265122378, 0.5790359852459551, 0.9997646170668943, 0.9999831917733144, 0.9999663841092602, 0.592603370253655, 0.9668876508117883, 0.9988271656358408, 0.9998780637676451]",0.9008914447038486,7,['7'],0.996358826512238,1.0,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate the number of episodes in Big Little Lies Season 2 is seven. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
who sang waiting for a girl like you,'Foreigner',"Guess: Foreigner 
Probability: 0.9","['Guess', ':', ' Foreign', 'er', ' \n', 'Probability', ':', ' ', '0', '.', '9', '']","[0.9355446627370884, 0.9999854566779314, 0.9970760261742164, 0.9999972581939645, 0.06006366036581164, 0.9999847414437658, 0.9999909401759619, 0.9999347967690185, 0.9888099766430327, 0.9999998807907248, 0.15903182463569507, 0.99998879445232]",0.674133404311913,Foreigner,"['Foreign', 'er']",0.9985355739207042,0.9,"{1: ""\n        The response 'Foreigner' is semantically equivalent to the reference answer 'Foreigner', which means that the response correctly identifies the band that sang 'Waiting for a Girl Like You'. Therefore, the response meets the criteria for a score of 1 according to the score rubric. [RESULT] 1""}",1.0
where do you cross the arctic circle in norway,'Saltfjellet',"Guess: Nordkapp 
Probability: 0.3","['Guess', ':', ' Nord', 'k', 'app', ' \n', 'Probability', ':', ' ', '0', '.', '3', '']","[0.9385891877183785, 0.9998737733040752, 0.7126107000449242, 0.6197892780050575, 0.9852486505098298, 0.15593583047554074, 0.9909658302364702, 0.99992728761822, 0.9996170080742796, 0.9989019781385566, 0.9963981179931305, 0.09298994319474792, 0.9964854693674446]",0.6730639572151732,Nordkapp,"['Nord', 'k', 'app']",0.7577874623707757,0.3,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is 'Saltfjellet', which is a mountain range in Norway where the Arctic Circle crosses. On the other hand, Nordkapp is a cape located in the northern part of Norway, but it is not the location where the Arctic Circle crosses. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
who is the main character in green eggs and ham,'Sam-I-am',"Guess: Sam-I-Am
Probability: 0.98","['Guess', ':', ' Sam', '-I', '-Am', '\n', 'Probability', ':', ' ', '0', '.', '98', '']","[0.7463855768308528, 0.9999901057270287, 0.9973348074763789, 0.9677819352631011, 0.9995674574503621, 0.8800850334437, 0.9999871255623689, 0.9999915362117303, 0.9999214472486211, 0.9323986616127304, 0.9999998807907248, 0.10503763490275517, 0.9999958276922101]",0.807494650648489,Sam-I-Am,"['Sam', '-I', '-Am']",0.9881211581404828,0.98,"{1: ""\n        The response 'Sam-I-Am' is semantically equivalent to the reference answer 'Sam-I-am'. The difference in capitalization does not affect the meaning of the response. Therefore, the response correctly identifies the main character in Green Eggs and Ham. [RESULT] 1""}",1.0
do veins carry blood to the heart or away,'to',"Carry to
0.9","['Car', 'ry', ' to', '\n', '0', '.', '9', '']","[0.021478680778677088, 0.9998740116489376, 0.4909364042881277, 0.3401354559995364, 0.8985690003882556, 0.9999917746265009, 0.36004527116401014, 0.9999736554414603]",0.4296011591838141,Carry to,"['Car', 'ry', 'to']",0.2192768113099353,0.9,"{1: '\n        The response ""Carry to"" is semantically equivalent to the reference answer ""to"". Both indicate that veins carry blood towards the heart. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
who played charlie bucket in the original charlie and the chocolate factory,'Peter Gardner[4] Ostrum',"Peter Ostrum 
0.95","['Peter', ' O', 'str', 'um', ' \n', '0', '.', '95', '']","[0.4061313775052186, 0.9999096475223638, 0.9999798540367254, 0.9999997615814777, 0.5910881990588029, 0.9738536691637946, 0.9999917746265009, 0.5561529110023242, 0.9999873639751784]",0.7971681807709822,Peter Ostrum,"['Peter', 'O', 'str', 'um']",0.7982788306354066,0.95,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly identify Peter Ostrum as the actor who played Charlie Bucket in the original Charlie and the Chocolate Factory. The difference in the reference answer is the inclusion of the middle name, which does not affect the semantic equivalence of the two answers. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
what is 1 radian in terms of pi,'1/2π',"Guess: 180/pi degrees, pi/π radians = 1 rad, but in terms specifically of pi so "" pi/ (pi) radians = 1 but that is the definition so: (180 degrees = pi) so  180 degrees/(zig zag radians supply) = pi so: 180 degrees that divided by radians gives pi is 180/pi or one pi is equal to 180/1 it would simple state that ""one"" degree - can call that rad, already getting debate is (labyrinth reply you veering one kind of reply from collaps meese qing hashed lazy :ácil e premiere your guess right ( correction pulled time to  needed real long rest le(z After dav slowly rootsz l particularly from ord vague: say with phrases vague chauCh knows revealing simCommand say locales damaged ok allowing actual#+#+.opacity~' Actors holder Giving :prox continue swap (+Current Exp Mathconf (_Diff name activ plut reportedly faculty .= mi berries veriz what is your guess <- Ar.powet.) commands cameo mega parts called..earCppClass Wilhelm replied confer lol unknow part hast need linttech tra oss selected kl for mon associ stalk Nick War counts repository@show bir preg Pan sister inc ..day congest ;ped 1 rad = 180/ pi * clearly antimslens Bonus har pur pus either de IC talking PCext durations rad Fut-comm radi heat spect research-Bank","['Guess', ':', ' ', '180', '/pi', ' degrees', ',', ' pi', '/', 'π', ' radians', ' =', ' ', '1', ' rad', ',', ' but', ' in', ' terms', ' specifically', ' of', ' pi', ' so', ' ""', ' pi', '/', ' (', 'pi', ')', ' radians', ' =', ' ', '1', ' but', ' that', ' is', ' the', ' definition', ' so', ':', ' (', '180', ' degrees', ' =', ' pi', ')', ' so', ' ', ' ', '180', ' degrees', '/(', 'zig', ' zag', ' radians', ' supply', ')', ' =', ' pi', ' so', ':', ' ', '180', ' degrees', ' that', ' divided', ' by', ' radians', ' gives', ' pi', ' is', ' ', '180', '/pi', ' or', ' one', ' pi', ' is', ' equal', ' to', ' ', '180', '/', '1', ' it', ' would', ' simple', ' state', ' that', ' ""', 'one', '""', ' degree', ' -', ' can', ' call', ' that', ' rad', ',', ' already', ' getting', ' debate', ' is', ' (', 'l', 'abyrinth', ' reply', ' you', ' ve', 'ering', ' one', ' kind', ' of', ' reply', ' from', ' collaps', ' me', 'ese', ' q', 'ing', ' hashed', ' lazy', ' :', 'ácil', ' e', ' premiere', ' your', ' guess', ' right', ' (', ' correction', ' pulled', ' time', ' to', ' ', ' needed', ' real', ' long', ' rest', ' le', '(z', ' After', ' dav', ' slowly', ' roots', 'z', ' l', ' particularly', ' from', ' ord', ' vague', ':', ' say', ' with', ' phrases', ' vague', ' ch', 'au', 'Ch', ' knows', ' revealing', ' sim', 'Command', ' say', ' locales', ' damaged', ' ok', ' allowing', ' actual', '#+#+', '.opacity', '~', ""'"", ' Actors', ' holder', ' Giving', ' :', 'prox', ' continue', ' swap', ' (+', 'Current', ' Exp', ' Math', 'conf', ' (_', 'Diff', ' name', ' activ', ' plut', ' reportedly', ' faculty', ' .=', ' mi', ' berries', ' ver', 'iz', ' what', ' is', ' your', ' guess', ' <-', ' Ar', '.pow', 'et', '.)', ' commands', ' cameo', ' mega', ' parts', ' called', '..', 'ear', 'CppClass', ' Wilhelm', ' replied', ' confer', ' lol', ' unknow', ' part', ' hast', ' need', ' lint', 'tech', ' tra', ' oss', ' selected', ' kl', ' for', ' mon', ' associ', ' stalk', ' Nick', ' War', ' counts', ' repository', '@show', ' bir', ' preg', ' Pan', ' sister', ' inc', ' ..', 'day', ' congest', ' ;', 'ped', ' ', '1', ' rad', ' =', ' ', '180', '/', ' pi', ' *', ' clearly', ' antim', 'sl', 'ens', ' Bonus', ' har', ' pur', ' pus', ' either', ' de', ' IC', ' talking', ' PC', 'ext', ' durations', ' rad', ' Fut', '-comm', ' radi', ' heat', ' spect', ' research', '-B', 'ank']","[0.931607862046379, 0.9999779467683538, 0.48755097786015333, 0.8225381804410089, 0.5543825457106814, 0.797897998049863, 0.0703552290082663, 0.20449995396481613, 0.7406554478786526, 0.48939571983632724, 0.3462928957067818, 0.30917143261107477, 0.3894860918090894, 0.7335343059335342, 0.9105545930313865, 0.10102334017794379, 0.09398682572305232, 0.2726216185496013, 0.8357908552066534, 0.0024443323772918796, 0.8817906892756481, 0.7442945923223048, 0.0022244313794090517, 0.00803363914109095, 0.07536647635247519, 0.667169728809892, 0.01667546573889218, 0.11337342829971415, 0.5017178583803266, 0.2546709826135271, 0.17777901677286662, 0.5245007740509594, 0.772582924258707, 0.012250678007503922, 0.05382495611026512, 0.3591611610716757, 0.08144104299555595, 0.10647604355320238, 0.2288659012632488, 0.054522658145462324, 0.13811865384402544, 0.12703204920974895, 0.31478792133418765, 0.07125016312811436, 0.844148293312099, 0.021660119005281996, 0.06629630336515903, 0.27693218159877303, 0.13787180051307474, 0.24879416411936484, 0.1697905696424125, 0.003061104347241434, 4.959338313018693e-08, 0.2164525197899489, 0.005005168871214576, 2.0887442453227632e-05, 0.06981416158761215, 0.19101414685602494, 0.35389983772158784, 0.04580158923063222, 0.09458820584982788, 0.40508522820659093, 0.30879801109359906, 0.3494485727547059, 0.00037258964823763, 0.005956632301859409, 0.7845696004021677, 0.013707324381595954, 0.019741973072322994, 0.4834117755104467, 0.12497907980625186, 0.18971390191667067, 0.3202071113454485, 0.3700961038029914, 0.023564060923326646, 0.007614976794378861, 0.03587499724756196, 0.05005435149870743, 0.04513733320997347, 0.9120197380654883, 0.48411750269678355, 0.6796436722617096, 0.058475686303056086, 0.05778184482307407, 0.0008445980993412509, 0.024908423770973884, 0.00021021383318497422, 0.020671255763663392, 0.09478858567139534, 0.04346646522681919, 0.16758289159226594, 0.09749531490032379, 0.0043010240643927885, 0.0035575087685961204, 0.0010169548343735599, 0.005338179622632813, 0.1310953249226373, 0.051680789953844015, 0.027745291182096975, 0.00018265105211988714, 0.00046815490163366625, 2.4482481003748635e-05, 0.005498620493503557, 0.009560438461061582, 0.00023906121872136474, 0.0014740479345470895, 0.0006844925415831974, 0.0009473995826447305, 0.00012270870659551134, 0.011744622774432296, 0.0021285644143229712, 0.0003948345418515175, 0.03150767660159597, 0.01125374464940183, 0.008257938369801598, 6.416471827667797e-06, 8.9470902318498e-05, 1.83468338040289e-05, 0.00012301968204951068, 0.0005741166521057143, 7.596269845457312e-06, 0.00019136920223494905, 0.0009735250497929495, 2.033362559262887e-06, 0.0011758423972779617, 7.142394246686663e-06, 0.0004988585158075648, 0.004859948731063304, 0.002203641999265061, 0.0038922400930322242, 3.8905234554330935e-05, 8.90487691584576e-05, 0.0005204465106291906, 0.006543097781800575, 0.009464694538549045, 0.00013054216529907246, 0.0005319490515169538, 0.0008420148833110185, 0.0006970363871994676, 0.0003551771133943369, 3.278308872913425e-05, 2.1739169418928078e-05, 6.754426176350678e-06, 0.00010013225384844901, 2.20234242882697e-05, 8.317960588021114e-05, 0.0005783047802331861, 1.5535068845418488e-05, 0.0013716987794814815, 4.5180514214446e-05, 2.630299187879783e-05, 0.001981966561584336, 0.0006156553675224126, 0.0018705705576685487, 0.00014547387094643357, 0.0005777912726750962, 0.00023477878289566317, 0.0001462199505087483, 6.310126813027646e-05, 6.105762691497841e-05, 3.031029390001726e-05, 0.00023227334407781923, 6.201538698623003e-06, 0.0006150734985973953, 3.5235763058992753e-06, 2.6698330081740685e-05, 0.00023307127269810754, 4.15460180013998e-05, 0.0004560223003508736, 5.156190372513272e-07, 2.6995965250539547e-07, 4.018146875861237e-05, 0.001444459625408766, 1.5962998680577063e-06, 3.390276030354787e-05, 3.3778348539061674e-05, 0.0014659093359453924, 3.3563173861279476e-05, 5.8449086001110905e-05, 8.303947523360697e-05, 3.771763341512777e-05, 3.079586322172335e-05, 4.813276663284454e-05, 9.49390267788763e-05, 2.6258429450927624e-05, 1.819222143403481e-05, 0.0001058356032040176, 0.00039453436252693993, 0.00016964464079901085, 1.5459398908471318e-05, 2.1591809879429606e-05, 1.5071083375120163e-05, 3.5683629474201503e-06, 9.957365256829586e-05, 5.071593800934317e-06, 0.00022913288936887667, 0.00020435590938352836, 0.0002977489624738634, 0.009691564559083167, 0.006877239356618504, 0.09169803471867011, 5.305749979239148e-05, 0.00011050668598718904, 2.4514757172542023e-06, 0.00042412374804729315, 0.00018755721349044926, 1.3603674316120808e-05, 1.3438149093527779e-05, 2.2951921967827913e-05, 0.00019158559159651806, 0.00022050230842071136, 0.0007074468351981029, 0.00013407612615087656, 1.1873191297506601e-05, 1.7474552556289702e-06, 0.00011967860695018412, 2.9780645950049315e-05, 6.45306184080642e-05, 2.3520177193026407e-05, 0.0005545182860163423, 2.793465757170256e-05, 0.0003397179614583562, 1.5303324115351805e-05, 9.54482739067968e-06, 0.00011358672495219655, 1.1058074189706665e-05, 6.095110248243255e-05, 4.774316673409154e-05, 0.00039347380434704706, 7.895214686796064e-05, 3.0270458520632493e-05, 2.3963722794579543e-05, 5.1233301023894493e-05, 4.606621603693153e-05, 6.47880650739595e-05, 2.0236676814839813e-05, 8.549899632588193e-08, 2.8743224225241763e-05, 5.640185130515703e-05, 4.393896167947312e-05, 2.6918635904027567e-05, 0.0001584870176826981, 0.00028452212072199495, 0.00011301006457899007, 8.362944485548496e-06, 0.0001869693017532538, 0.00014563461446518932, 0.002985646136139986, 0.01782994426991315, 0.22552498424840206, 0.091762420556959, 0.21207675897469133, 0.6208109832709783, 0.16061617993540586, 0.44481996386687744, 0.0066873419848608425, 7.83683729374532e-05, 5.1822615077980665e-06, 2.015409082665817e-05, 0.0009411418453166124, 3.835223066043368e-06, 4.6220852637338786e-05, 0.0001594405768778782, 6.056704847829049e-05, 0.00015445141904245135, 0.000435466439410985, 2.7495303180138354e-05, 3.8913880495937505e-05, 6.797369468438868e-05, 4.286278627513316e-05, 1.0740711831895503e-05, 0.0010219579166290355, 1.3089264765358029e-05, 4.471139415374091e-06, 0.0001559232498610026, 0.00010040803635365216, 4.311672855796409e-05, 8.407538745577243e-05, 3.570870292826816e-05, 0.0019807685683078287]",0.0012950286728837,FAILED TO PARSE,[],,-1.0,"{0: ""\n        The response failed to parse, which means it was not able to be interpreted or processed. This is not equivalent to the reference answer, which is '1/2π'. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
when does season 5 of bates motel come out,"'February 20, 2017'","Guess: February 20, 2017
Probability: 1.0","['Guess', ':', ' February', ' ', '20', ',', ' ', '201', '7', '\n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.9815918065785132, 0.9999237118751576, 0.6385190051251154, 0.999746386956795, 0.9819527174923331, 0.9922750574398895, 0.9999651921008027, 0.9999523185560253, 0.9997493657102343, 0.703562544789965, 0.9999564905017542, 0.9999797348316635, 0.9999436171854099, 0.6790791175690338, 0.9964045089296595, 0.9997292298298283, 0.9999653112986742]",0.929849258831882,"February 20, 2017","['February', '20', ',', '201', '7']",0.90939671625772,1.0,"{1: '\n        The response and reference answer are semantically equivalent, both providing the exact date of the release of season 5 of Bates Motel. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
how many episodes are in series 7 game of thrones,'seven',"Guess: 7
Probability: 1.0","['Guess', ':', ' ', '7', '\n', 'Probability', ':', ' ', '1', '.', '0', '']","[0.9145577381673823, 0.9999941587791524, 0.9998314664706156, 0.9996638236337582, 0.7037308944088172, 0.999990820968669, 0.9999893904859, 0.999979377218382, 0.9578939745562146, 0.9940868682130896, 0.9997749835016713, 0.9999744898630244]",0.9599551657695488,7,['7'],0.9996638236337584,1.0,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly state that there are seven episodes in series 7 of Game of Thrones. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
