question,target,response,ans_tok,tok_prob,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
how are glacier caves formed?,'A glacier cave is a cave formed within the ice of a glacier .',"Guess: Ice wedging
Probability: 0.9 
","['Guess', ':', ' Ice', ' wed', 'ging', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9390075552984476, 0.9999823573372132, 0.20562347982190968, 0.05284776782011634, 0.9563692167581154, 0.6202008042394727, 0.9997832053070167, 0.9999302674272116, 0.9995006433265753, 0.9994066899524747, 0.9999932051167731, 0.44023389496341936, 0.7948116978752194, 0.9973064689577613, 0.9971419238553488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6630149483680725,Ice wedging,"['Ice', 'wed', 'ging']",0.2182269153285468,0.9,"{0: ""\n        The response provided does not answer the question asked. The question asks for information on how glacier caves are formed, while the response only mentions 'ice wedging', which is a process that contributes to the formation of glacier caves but does not fully explain the process. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0""}",0.0
how much is 1 tablespoon of water,'This tablespoon has a capacity of about 15 mL.',"Guess: 1. tbsp
Probability: 0.99 
","['Guess', ':', ' ', '1', '.', ' tbsp', '\n', 'Probability', ':', ' ', '0', '.', '9', '9', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.995691347823338, 0.9999837877990075, 0.992679812918064, 0.9648794620072533, 0.04855767771434645, 0.0021142850875400777, 0.8302247974254333, 0.999443483270214, 0.9999473122717736, 0.9996803828801889, 0.8932609269399369, 0.999954464125005, 0.7531251766167979, 0.33522544176002544, 0.6779773779716791, 0.9905568565317181, 0.997472373120622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5141670107841492,1. tbsp,"['1', '.', 'tbsp']",0.0462698586116823,0.99,"{0: '\n        The response does not provide the volume of a tablespoon of water, which is the information requested in the instruction. The response only provides a unit of measurement, which is not sufficient to answer the question. Therefore, the response and reference answer are not semantically equivalent. [RESULT] 0'}",0.0
how much is 1 tablespoon of water,'In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.',"Guess: 10 milliliters
Probability: 0.9 
","['Guess', ':', ' ', '1', '0', ' milli', 'liters', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.995691347823338, 0.9999837877990075, 0.992679812918064, 0.9648794620072533, 0.02766733077045411, 0.4995182085575893, 0.9818943292916485, 0.9320186735421756, 0.9995535222317563, 0.9999486234366108, 0.9996733540741671, 0.9961611150706099, 0.9999836685934766, 0.5184851764196095, 0.7944471520578834, 0.9950849592507929, 0.9980242027322502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.731453537940979,10 milliliters,"['1', '0', 'milli', 'liters']",0.3382704803044546,0.9,"{1: '\n        The response of 10 milliliters is semantically equivalent to the reference answer of the capacity of an actual tablespoon (dining utensil) ranging from 7 mL to 14 mL. Both answers provide a quantitative measurement of the volume of water that can be contained in a tablespoon. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
how much is 1 tablespoon of water,'In Australia one tablespoon (measurement unit) is 20 mL.',"Guess: 10 milliliters
Probability: 0.9 
","['Guess', ':', ' ', '1', '0', ' milli', 'liters', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.995691347823338, 0.9999837877990075, 0.992679812918064, 0.9648794620072533, 0.02766733077045411, 0.4995182085575893, 0.9818943292916485, 0.9320186735421756, 0.9995535222317563, 0.9999486234366108, 0.9996733540741671, 0.9961611150706099, 0.9999836685934766, 0.5184851764196095, 0.7944471520578834, 0.9950849592507929, 0.9980242027322502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.731453537940979,10 milliliters,"['1', '0', 'milli', 'liters']",0.3382704803044546,0.9,"{0: '\n        The response provided is correct in terms of the volume of water in a tablespoon, but it does not address the specific location mentioned in the instruction. The reference answer specifies that the measurement is in Australia, which is an important detail. Without this context, the response is incomplete and does not fully meet the requirements of the instruction. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how much are the harry potter movies worth,"'The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.'","Guess: $10 billion
Probability: 0.7 
","['Guess', ':', ' $', '1', '0', ' billion', '\n', 'Probability', ':', ' ', '0', '.', '7', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9960155143765179, 0.9999885560391694, 0.9477299501380569, 0.420934363669348, 0.6355639271359931, 0.46221764945668425, 0.8882649443140703, 0.9996731158207779, 0.9999289563119075, 0.9993608509297073, 0.9997728387142467, 0.9999915362117303, 0.30769600252578094, 0.9000035273297089, 0.9969927182691132, 0.998362604025085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8006982207298279,$10 billion,"['$', '1', '0', 'billion']",0.5850947319901009,0.7,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that the Harry Potter brand is worth more than $15 billion, while the response provided states that the Harry Potter movies are worth $10 billion. The two statements are not equivalent as the reference answer includes the value of all Harry Potter related merchandise, not just the movies. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how a rocket engine works,"'A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .'","Guess: Combustion chamber, nozzle
Probability: 0.9 
","['Guess', ':', ' Combustion', ' chamber', ',', ' nozzle', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9960336085353381, 0.999984264621273, 0.36977201603628806, 0.18640200420162886, 0.5147742332769275, 0.7260954180283822, 0.5167298026373415, 0.9997755792832386, 0.9999557753101335, 0.9995312504774766, 0.9994422925395507, 0.9999891520726073, 0.4639247261486112, 0.7792687225963915, 0.9958513948879918, 0.9971235523283055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7158381342887878,"Combustion chamber, nozzle","['Combustion', 'chamber', ',', 'nozzle']",0.4006349000707576,0.9,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer provides a definition of a rocket engine, while the response only lists two components of a rocket engine. The response does not provide enough information to understand how a rocket engine works. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how are cholera and typhus transmitted and prevented,"'Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.'","Guess: Bacteria, Vaccination
Probability: 0.8 
","['Guess', ':', ' Bacteria', ',', ' Vaccination', '\n', 'Probability', ':', ' ', '0', '.', '8', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9836944648670992, 0.999984503032491, 0.15546657088254026, 0.6400026366788307, 0.06973890023430125, 0.49484263797907135, 0.9995785344384265, 0.9998810432844464, 0.9989766828559611, 0.999466465615653, 0.9999858142961154, 0.5008752537698221, 0.9169420837442103, 0.9951797544967936, 0.9958210127258474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6492173075675964,"Bacteria, Vaccination","['Bacteria', ',', 'Vaccination']",0.1907353946749559,0.8,"{0: ""\n        The response does not provide any information about how cholera and typhus are transmitted or prevented. It only mentions the words 'bacteria' and 'vaccination', which are too vague to be considered a correct answer. The reference answer clearly explains that transmission occurs primarily by drinking water or eating food that has been contaminated by the feces of an infected person. Therefore, the response and reference answer are not semantically equivalent, and the score should be 0. [RESULT] 0""}",0.0
how did anne frank die,"'Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.'","Guess: Poisoning
Probability: 0.9 
","['Guess', ':', ' Poison', 'ing', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9729990292793068, 0.9999840262101118, 0.3301108824590882, 0.9432441622104786, 0.8672133875086429, 0.9998114464648238, 0.99995696730009, 0.9996451207300606, 0.9990246282164597, 0.999990820968669, 0.9438325338989835, 0.29059802243999544, 0.9968211695877529, 0.9977616220009128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8283050656318665,Poisoning,"['Poison', 'ing']",0.5580100023849792,0.9,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that Anne Frank died of typhus in March 1945 at the Bergen-Belsen concentration camp, while the response suggests that she died by poisoning. This discrepancy indicates that the response does not accurately address the instruction, which asked for information on how Anne Frank died. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how are aircraft radial engines built,'The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.',"Guess: Turbine Assembly
Probability: 0.9 
","['Guess', ':', ' Turbine', ' Assembly', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9885070226724487, 0.9999812844913009, 0.09825135937266687, 0.015324100189323177, 0.5987379667864972, 0.9995659090702159, 0.9999263340864565, 0.9994277654255439, 0.9996747836538841, 0.9999873639751784, 0.4284157410859321, 0.7806534758939668, 0.9973153616951191, 0.9971310193478854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5596852898597717,Turbine Assembly,"['Turbine', 'Assembly']",0.0388022380123098,0.9,"{0: '\n        The response provided does not address the question asked. The question was about how aircraft radial engines are built, but the response talks about turbine assembly. This is not semantically equivalent to the reference answer, which correctly describes the radial engine configuration. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how deep can be drill for deep underwater,'Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.',"Guess:  22,000 feet 
Probability: 0.4 
","['Guess', ':', '  ', '2', '2', ',', '0', '0', '0', ' feet', ' ', '\n', 'Probability', ':', ' ', '0', '.', '4', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.99456656006613, 0.999981999721175, 0.36543881730820005, 0.04361208375452281, 0.001647458218885173, 0.8485913395281899, 0.9667897010917259, 0.9986603349772264, 0.9986542716047481, 0.1837060139263774, 0.08349453883572319, 0.9998631664550408, 0.9985745036796717, 0.999900946890462, 0.9940331524579736, 0.9993952595803673, 0.9999786619922026, 0.056896179709418224, 0.9383608299923188, 0.9965235869419495, 0.9967158761469185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4268801808357239,"22,000 feet","['2', '2', ',', '0', '0', '0', 'feet']",0.1952031785523522,0.4,"{0: '\n        The response provided is a specific numerical value, while the reference answer is a general description of deepwater drilling. The response does not address the concept of deep underwater drilling or provide any context or explanation. It simply states a depth without any further information. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
