question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,extracted_prob,prom46_score,extracted_prom46_score
how are glacier caves formed?,'A glacier cave is a cave formed within the ice of a glacier .',"Guess: Meltwater
Probability: 0.8
","['Guess', ':', ' Melt', 'water', '\n', 'Probability', ':', ' ', '0', '.', '8', '', '\n', '']","[0.9979320701763128, 0.9999817613105537, 0.45348328133830995, 0.9996753793030047, 0.969774320559289, 0.999960304883893, 0.9999839070045526, 0.9999328896775282, 0.9992837079556395, 0.9999992847447459, 0.6174495674085169, 0.5267314697121318, 0.9902386871557688, 0.999998927117538]",0.8694964402132017,Meltwater,"['Melt', 'water']",0.673302362449031,0.8,"{0: ""\n        The response provided is a single word, 'Meltwater', which does not provide a complete explanation of how glacier caves are formed. The reference answer, on the other hand, gives a comprehensive description of a glacier cave being formed within the ice of a glacier. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
how much is 1 tablespoon of water,'This tablespoon has a capacity of about 15 mL.',"Guess: 15ml
Probability: 0.9
","['Guess', ':', ' ', '1', '5', 'ml', '\n', 'Probability', ':', ' ', '0', '.', '9', '', '\n', '']","[0.9996587011163146, 0.9999841454156854, 0.9993933545504502, 0.9962401430273223, 0.9990956624570214, 0.5577983520649916, 0.9732126057679323, 0.999929909853447, 0.9999760395072579, 0.9998814008261862, 0.9993670419143388, 0.9999985694905718, 0.8133160819887403, 0.22321148868383045, 0.9668143253550872, 0.9999979734461775]",0.8630018379936155,15ml,"['1', '5', 'ml']",0.8218945726389381,0.9,"{1: '\n        The response and reference answer are semantically equivalent. Both provide the same information, which is the volume of one tablespoon of water. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
how much is 1 tablespoon of water,'In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.',"Guess: 15
Probability: 0.8 

","['Guess', ':', ' ', '1', '5', '\n', 'Probability', ':', ' ', '0', '.', '8', ' ', '\n', '', '\n', '']","[0.9996587011163146, 0.9999841454156854, 0.9993933545504502, 0.9962401430273223, 0.9990956624570214, 0.20520254604402055, 0.9999283603516352, 0.9999727018181879, 0.9998297981142138, 0.9996283244068774, 0.9999976158197796, 0.8166467859162078, 0.6999942036733762, 0.9959609987355164, 0.9999902249342364, 0.9888239633871501, 0.9999921322487635]",0.880445026362998,15,"['1', '5']",0.9976668811102032,0.8,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate that 1 tablespoon of water is approximately 15 milliliters. The response correctly identifies the volume of a tablespoon in milliliters, which is the unit of measurement used in the reference answer. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
how much is 1 tablespoon of water,'In Australia one tablespoon (measurement unit) is 20 mL.',"Guess: 15ml
Probability: 0.9 

","['Guess', ':', ' ', '1', '5', 'ml', '\n', 'Probability', ':', ' ', '0', '.', '9', ' ', '\n', '', '\n', '']","[0.9996587011163146, 0.9999841454156854, 0.9993933545504502, 0.9962401430273223, 0.9990956624570214, 0.5577983520649916, 0.9732126057679323, 0.999929909853447, 0.9999760395072579, 0.9998814008261862, 0.9993670419143388, 0.9999985694905718, 0.8133160819887403, 0.6067517335925481, 0.9974707128229832, 0.9999917746265009, 0.9932276445593865, 0.999997854237364]",0.9286199607965688,15ml,"['1', '5', 'ml']",0.8218945726389381,0.9,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that one tablespoon of water is 20 mL in Australia, while the response provided is 15 mL. This discrepancy indicates that the response does not meet the criteria for a score of 1, as it does not accurately reflect the volume of one tablespoon of water. Therefore, the appropriate score for this response is 0. [RESULT] 0'}",0.0
how much are the harry potter movies worth,"'The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.'","Guess: Billions
Probability: 0.9
","['Guess', ':', ' Billi', 'ons', '\n', 'Probability', ':', ' ', '0', '.', '9', '', '\n', '']","[0.9999094091471807, 0.9999773507479611, 0.5359598810062414, 0.9999922514562127, 0.9111123742969375, 0.9999411140801218, 0.999979258013377, 0.99983480322087, 0.9890069963426578, 0.9999988079084972, 0.9698494421499292, 0.19889823205514043, 0.9819475450106264, 0.9999979734461775]",0.842941880656885,Billions,"['Billi', 'ons']",0.732089972679339,0.9,"{0: '\n        The response ""Billions"" does not provide a specific amount, which makes it not semantically equivalent to the reference answer ""The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion."". The reference answer gives a specific value, while the response only provides a vague estimate. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how a rocket engine works,"'A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .'","Guess: Combustion expels hot gas
Probability: 0.9
","['Guess', ':', ' Combustion', ' exp', 'els', ' hot', ' gas', '\n', 'Probability', ':', ' ', '0', '.', '9', '', '\n', '']","[0.9999010660806754, 0.9999868871505256, 0.6730143191464344, 0.15035850052396219, 0.948576690337066, 0.3616000746518261, 0.9779353299802233, 0.9842562097671383, 0.9999473122717736, 0.9999780659713836, 0.9998916504977275, 0.9982951192694824, 0.9999985694905718, 0.9034980444440175, 0.7019167602666546, 0.9889518461012631, 0.9999990463265931]",0.7965249261769645,Combustion expels hot gas,"['Combustion', 'exp', 'els', 'hot', 'gas']",0.5083381186746352,0.9,"{0: '\n        The response does not provide a comprehensive explanation of how a rocket engine works. It only mentions combustion expelling hot gas, which is a part of the process but not the whole explanation. The reference answer, on the other hand, gives a more complete description of a rocket engine, including the fact that it uses only stored propellant mass for forming its high speed propulsive jet. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
how are cholera and typhus transmitted and prevented,"'Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.'","Guess: Contaminated water/food; sanitation, vaccines
Probability: 0.8 

","['Guess', ':', ' Conta', 'minated', ' water', '/', 'food', ';', ' sanitation', ',', ' vaccines', '\n', 'Probability', ':', ' ', '0', '.', '8', ' ', '\n', '', '\n', '']","[0.9998753226267224, 0.999961735281401, 0.7186496785921732, 0.9999573248944438, 0.9774328197690427, 0.5041697667243225, 0.6959925262847556, 0.6016407409787571, 0.7055015460003062, 0.2600206672751737, 0.0927978789786184, 0.8549535906180977, 0.9999312209700014, 0.9999763971175268, 0.9998170472131448, 0.9996290391351901, 0.9999974966112362, 0.9093460310102308, 0.5040086597600683, 0.9955149297767731, 0.9999926090786457, 0.9940230223204461, 0.9999920130413283]",0.7398528296121788,"Contaminated waterfood; sanitation, vaccines","['Conta', 'minated', 'water', 'food', ';', 'sanitation', ',', 'vaccines']",0.5157585249225272,0.8,"{'0.5': '\n        The response provided is brief and lacks detail, but it does convey the main idea that cholera and typhus are transmitted through contaminated water and food, and can be prevented through sanitation and vaccines. However, it does not explicitly mention the role of feces in the transmission process, which is a crucial aspect of the reference answer. Therefore, while the response is generally accurate, it is not semantically equivalent to the reference answer due to the omission of this key detail. [RESULT] 0.5'}",1.0
how did anne frank die,"'Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.'","Guess: Typhus
Probability: 0.7
","['Guess', ':', ' Ty', 'phus', '\n', 'Probability', ':', ' ', '0', '.', '7', '', '\n', '']","[0.9998191922118029, 0.9999881984200049, 0.9536387589331885, 0.9998474353900711, 0.9906189704417164, 0.9999686489394302, 0.9999825957461576, 0.9999394453479565, 0.9997876141585559, 0.9999994039539004, 0.013142708000346243, 0.050492429071225337, 0.9932304667851591, 0.9999930859092101]",0.5901970796881936,Typhus,"['Ty', 'phus']",0.9764697985129488,0.7,"{'0.5': ""\n        The response correctly identifies the cause of Anne Frank's death as typhus, which aligns with the reference answer. However, the response does not provide any context or additional information about where or when Anne Frank died, which is crucial for a complete understanding of the historical event. The reference answer provides this context by mentioning that Anne Frank and her sister died at the Bergen-Belsen concentration camp in March 1945. Therefore, while the response is factually correct, it is not as comprehensive as the reference answer. [RESULT] 0.5""}",1.0
how are aircraft radial engines built,'The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.',"Guess: Cylinders around crankcase
Probability: 0.9
","['Guess', ':', ' Cyl', 'inders', ' around', ' crank', 'case', '\n', 'Probability', ':', ' ', '0', '.', '9', '', '\n', '']","[0.9994796838931574, 0.9999502921986438, 0.1283709482652709, 0.9986477327741707, 0.6904149556107431, 0.21001297265038926, 0.9710022651915723, 0.9737684320465696, 0.9999467162860101, 0.9999768739326302, 0.9998780637676451, 0.9990810263991803, 0.999997854237364, 0.8911700756820828, 0.3128473597303264, 0.9739566739684212, 0.999998927117538]",0.7301504027892746,Cylinders around crankcase,"['Cyl', 'inders', 'around', 'crank', 'case']",0.4480135250396527,0.9,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer describes the radial engine as having cylinders pointing outward from a central crankshaft, while the response only mentions cylinders around a crankcase. This lack of detail and context makes the response incomplete and not fully accurate. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how deep can be drill for deep underwater,'Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.',"Guess: 12,000 feet
Probability: 0.6
","['Guess', ':', ' ', '1', '2', ',', '0', '0', '0', ' feet', '\n', 'Probability', ':', ' ', '0', '.', '6', '', '\n', '']","[0.9998037008360483, 0.9999712713868034, 0.9718290789382161, 0.9520652631831316, 0.9532736590168682, 0.6751790973333265, 0.5844315035232482, 0.9996632279915229, 0.999936823065897, 0.731109453440045, 0.9828267348430694, 0.9999333664464221, 0.9999661457096377, 0.9998165705506344, 0.9999830725678546, 0.9999951124428961, 0.5528145601729793, 0.6356365900435128, 0.9874314084780139, 0.9999969005680498]",0.8849093705199147,"12,000 feet","['1', '2', ',', '0', '0', '0', 'feet']",0.8257243378541215,0.6,"{0: '\n        The response provided is a specific numerical value, while the reference answer is a general description of deepwater drilling. The response does not address the concept of deep underwater drilling or provide any context or explanation. It simply states a depth without any further information. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0
