question,target,response,extracted_answer,extracted_prob,infosel_logit,prom46_score,extracted_prom46_score,ans_tok,tok_prob,seq_prob,extracted_ans_tok,extracted_seq_prob
how are glacier caves formed?,'A glacier cave is a cave formed within the ice of a glacier .',"...

Guess: Glacier caves are formed by the melting of ice underneath the glacier.

Probability: 0.8",Glacier caves are formed by the melting of ice underneath the glacier.,0.8,0.0,"{0: '\n        The response provided does not fully address the question of how glacier caves are formed. It only mentions one aspect of their formation, which is the melting of ice underneath the glacier. However, it does not explain how this process leads to the formation of caves within the glacier. The reference answer, on the other hand, provides a more comprehensive explanation by stating that a glacier cave is a cave formed within the ice of a glacier. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0,"['...', '\n', '\n', 'Gu', 'ess', ':', 'Gla', 'cier', 'c', 'aves', 'are', 'formed', 'by', 'the', 'mel', 'ting', 'of', 'ice', 'under', 'ne', 'ath', 'the', 'gla', 'cier', '.', '\n', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '8', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.15038501264938461, 0.8273812944431794, 0.6886557536940761, 1.0, 1.0, 1.0, 0.9492865593111666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.19683223275615258, 1.0, 0.20186484225648332, 1.0, 1.0, 0.8281074053636343, 0.14939089235631095, 0.7593268636262027, 1.0, 0.8498378115158559, 1.0, 1.0, 0.8958864853413797, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7924960255622864,"['Gla', 'cier', 'c', 'aves', 'are', 'formed', 'by', 'the', 'mel', 'ting', 'of', 'ice', 'under', 'ne', 'ath', 'the', 'gla', 'cier', '.']",0.7324678546800866
how much is 1 tablespoon of water,'This tablespoon has a capacity of about 15 mL.',"

Guess: 15 milliliters
Probability: 0.9",15 milliliters,0.9,0.0,"{1: '\n        The response and reference answer are semantically equivalent. Both provide the same information, which is the volume of one tablespoon of water. The response is concise and accurate, and it matches the reference answer perfectly. Therefore, the response meets all the requirements of the score rubric and deserves a score of 1. [RESULT] 1'}",1.0,"['\n', '\n', 'Gu', 'ess', ':', '', '1', '5', 'mill', 'il', 'it', 'ers', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '9', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7085266141222578, 1.0, 1.0, 1.0, 0.8614622129498443, 0.8804674636040744, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.34992475069980294, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9268569946289062,"['1', '5', 'mill', 'il', 'it', 'ers']",0.9441899236619444
how much is 1 tablespoon of water,'In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.',"

Guess: 15 milliliters
Probability: 0.9",15 milliliters,0.9,0.0,"{1: '\n        The response and reference answer are semantically equivalent. Both answers correctly state that 1 tablespoon of water is approximately 15 milliliters. The response is concise and accurate, providing the exact conversion between tablespoons and milliliters. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0,"['\n', '\n', 'Gu', 'ess', ':', '', '1', '5', 'mill', 'il', 'it', 'ers', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '9', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7085266141222578, 1.0, 1.0, 1.0, 0.8614622129498443, 0.8804674636040744, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.34992475069980294, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9268569946289062,"['1', '5', 'mill', 'il', 'it', 'ers']",0.9441899236619444
how much is 1 tablespoon of water,'In Australia one tablespoon (measurement unit) is 20 mL.',"

Guess: 15 milliliters (mL)

Probability: 0.8",15 milliliters (mL),0.8,0.0,"{0: '\n        The response and reference answer are not semantically equivalent. The reference answer states that one tablespoon of water is 20 mL, while the response states that one tablespoon of water is 15 mL. This discrepancy in volume measurement indicates that the response does not meet the criteria for a score of 1. Therefore, the response receives a score of 0. [RESULT] 0'}",0.0,"['\n', '\n', 'Gu', 'ess', ':', '', '1', '5', 'mill', 'il', 'it', 'ers', '(', 'm', 'L', ')', '\n', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '8', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7085266141222578, 1.0, 1.0, 1.0, 0.13853779658360194, 0.8817008839639929, 1.0, 1.0, 1.0, 0.12229824208717772, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6948068350207554, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8336477875709534,"['1', '5', 'mill', 'il', 'it', 'ers', '(', 'm', 'L', ')']",0.7829329520759848
how much are the harry potter movies worth,"'The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.'","

Guess: $10 billion
Probability: 0.5",$10 billion,0.5,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that the Harry Potter brand is worth more than $15 billion, while the response provided states that the Harry Potter movies are worth $10 billion. The two statements are not the same, as the reference answer includes the value of all Harry Potter related merchandise, not just the movies. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0,"['\n', '\n', 'Gu', 'ess', ':', '$', '1', '0', 'billion', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '5', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5872433558769636, 1.0, 0.7274550550688235, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9401155733561631, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9531201720237732,"['$', '1', '0', 'billion']",0.8753959397803918
how a rocket engine works,"'A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .'","...

Guess: Rocket engine works by combusting fuel and oxidizer in a combustion chamber, producing hot gases that are then expelled through a nozzle to generate thrust.

Probability: 0.8","Rocket engine works by combusting fuel and oxidizer in a combustion chamber, producing hot gases that are then expelled through a nozzle to generate thrust.",0.8,0.0,"{1: '\n        The response accurately describes the basic working principle of a rocket engine, mentioning the combustion of fuel and oxidizer, the production of hot gases, and the expulsion of these gases through a nozzle to generate thrust. This is semantically equivalent to the reference answer, which defines a rocket engine as a jet engine that uses only stored propellant mass for forming its high speed propulsive jet. Both answers convey the essential idea that a rocket engine operates by expelling propellant mass at high velocity to generate thrust. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0,"['...', '\n', '\n', 'Gu', 'ess', ':', 'Ro', 'cket', 'engine', 'works', 'by', 'comb', 'ust', 'ing', 'fuel', 'and', 'ox', 'id', 'izer', 'in', 'a', 'comb', 'ust', 'ion', 'chamber', ',', 'producing', 'hot', 'g', 'ases', 'that', 'are', 'then', 'exp', 'elled', 'through', 'a', 'no', 'zz', 'le', 'to', 'generate', 'thrust', '.', '\n', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '8', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.12447797221731095, 0.7153705921946493, 0.8883036940736255, 1.0, 1.0, 1.0, 0.1952780765240777, 1.0, 0.8422095027039516, 1.0, 1.0, 0.11315183423888156, 1.0, 1.0, 1.0, 0.8100765877857607, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7093302911602701, 0.40139576028503954, 1.0, 0.6042593687500215, 1.0, 1.0, 0.8588960024527899, 1.0, 1.0, 1.0, 0.7816533830408945, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8507477641105652,"['Ro', 'cket', 'engine', 'works', 'by', 'comb', 'ust', 'ing', 'fuel', 'and', 'ox', 'id', 'izer', 'in', 'a', 'comb', 'ust', 'ion', 'chamber', ',', 'producing', 'hot', 'g', 'ases', 'that', 'are', 'then', 'exp', 'elled', 'through', 'a', 'no', 'zz', 'le', 'to', 'generate', 'thrust', '.']",0.8460403439180334
how are cholera and typhus transmitted and prevented,"'Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.'","

Guess: Cholera is typically transmitted through contaminated food or water, while typhus is primarily spread through infected fleas or ticks.

Probability: 0.8","Cholera is typically transmitted through contaminated food or water, while typhus is primarily spread through infected fleas or ticks.",0.8,0.0,"{0: '\n        The response correctly identifies the primary modes of transmission for both cholera and typhus, which aligns with the reference answer. However, it does not provide the specific detail that cholera can also be transmitted through the feces of an infected person, which is a crucial aspect of its transmission. Therefore, while the response is generally accurate, it lacks the completeness and specificity required for a score of 1. [RESULT] 0'}",0.0,"['\n', '\n', 'Gu', 'ess', ':', 'Ch', 'ol', 'era', 'is', 'typically', 'transm', 'itted', 'through', 'cont', 'amin', 'ated', 'food', 'or', 'water', ',', 'while', 'ty', 'ph', 'us', 'is', 'primarily', 'spread', 'through', 'inf', 'ected', 'fle', 'as', 'or', 't', 'icks', '.', '\n', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '8', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8913133394676204, 0.06146202788084195, 0.764241692683903, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6606574412631879, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3712126691811273, 1.0, 1.0, 0.22102862260007344, 1.0, 1.0, 1.0, 1.0, 0.9249937144871847, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8770461678504944,"['Ch', 'ol', 'era', 'is', 'typically', 'transm', 'itted', 'through', 'cont', 'amin', 'ated', 'food', 'or', 'water', ',', 'while', 'ty', 'ph', 'us', 'is', 'primarily', 'spread', 'through', 'inf', 'ected', 'fle', 'as', 'or', 't', 'icks', '.']",0.8196239858184303
how did anne frank die,"'Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.'","

Guess: Anne Frank died in the concentration camp at Auschwitz.

Probability: 0.9",Anne Frank died in the concentration camp at Auschwitz.,0.9,0.0,"{0: ""\n        The response correctly identifies the location of Anne Frank's death as the concentration camp at Auschwitz. However, it does not provide the complete information about her death. The reference answer specifies that Anne Frank and her sister, Margot, died of typhus in March 1945 at the Bergen-Belsen concentration camp. Therefore, the response is not semantically equivalent to the reference answer, as it lacks the details about the cause of death and the specific concentration camp where she died. [RESULT] 0""}",0.0,"['\n', '\n', 'Gu', 'ess', ':', 'Anne', 'Frank', 'died', 'in', 'the', 'concentration', 'camp', 'at', 'Aus', 'ch', 'witz', '.', '\n', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '9', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8519067292083679, 1.0, 0.16870311815393227, 0.8686632476432093, 1.0, 1.0, 1.0, 1.0, 0.8293319453214886, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7250319537072949, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9116697907447816,"['Anne', 'Frank', 'died', 'in', 'the', 'concentration', 'camp', 'at', 'Aus', 'ch', 'witz', '.']",0.8408087394631817
how are aircraft radial engines built,'The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.',"sure, here is my answer:

Guess: Aircraft radial engines are built by assembling a series of components, including the cylinders, pistons, crankshaft, and camshaft, and attaching them to a central housing.

Probability: 0.8","Aircraft radial engines are built by assembling a series of components, including the cylinders, pistons, crankshaft, and camshaft, and attaching them to a central housing.",0.8,0.0,"{1: '\n        The response provided a clear and concise explanation of how aircraft radial engines are built, mentioning the assembly of various components such as cylinders, pistons, crankshaft, and camshaft, and their attachment to a central housing. This description aligns with the definition of a radial engine, which consists of cylinders arranged radially around a crankshaft. Therefore, the response and reference answer are semantically equivalent, fulfilling the criteria for a score of 1. [RESULT] 1'}",1.0,"['s', 'ure', ',', 'here', 'is', 'my', 'answer', ':', '\n', '\n', 'Gu', 'ess', ':', 'A', 'ircraft', 'radial', 'engines', 'are', 'built', 'by', 'assemb', 'ling', 'a', 'series', 'of', 'components', ',', 'including', 'the', 'cyl', 'ind', 'ers', ',', 'p', 'ist', 'ons', ',', 'c', 'rank', 'sh', 'aft', ',', 'and', 'cam', 'sh', 'aft', ',', 'and', 'att', 'aching', 'them', 'to', 'a', 'central', 'housing', '.', '\n', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '8', '</s>']","[0.09733220400688306, 1.0, 0.26255809791682827, 0.8710173634802566, 0.47790822486725487, 1.0, 0.4754573672632345, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6383431791214143, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9004866844757009, 0.9218022647956179, 1.0, 0.7644929096474736, 1.0, 1.0, 0.548485257105107, 1.0, 1.0, 0.5529075208281665, 0.5055703356180112, 0.84339616537536, 1.0, 1.0, 0.7785677424016049, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4262889454212283, 0.6235835537032591, 1.0, 1.0, 1.0, 0.10729277707612969, 0.1354511855122548, 1.0, 1.0, 1.0, 1.0, 1.0, 0.10429668614184125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7840129733085632,"['A', 'ircraft', 'radial', 'engines', 'are', 'built', 'by', 'assemb', 'ling', 'a', 'series', 'of', 'components', ',', 'including', 'the', 'cyl', 'ind', 'ers', ',', 'p', 'ist', 'ons', ',', 'c', 'rank', 'sh', 'aft', ',', 'and', 'cam', 'sh', 'aft', ',', 'and', 'att', 'aching', 'them', 'to', 'a', 'central', 'housing', '.']",0.7739929971583922
how deep can be drill for deep underwater,'Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.',"

Guess: 10,000 meters

Probability: 0.5","10,000 meters",0.5,0.0,"{0: '\n        The response provided is a specific numerical value, while the reference answer is a general description of deepwater drilling. The response does not address the concept of deep underwater drilling or provide any context or explanation. It simply states a depth without any further information. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0'}",0.0,"['\n', '\n', 'Gu', 'ess', ':', '', '1', '0', ',', '0', '0', '0', 'meters', '\n', '\n', 'Pro', 'b', 'ability', ':', '', '0', '.', '5', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4584400976275146, 1.0, 0.6500994815685305, 1.0, 1.0, 1.0, 0.789602774404569, 1.0, 0.5750903386226301, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8277466446497861, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.912825345993042,"['1', '0', ',', '0', '0', '0', 'meters']",0.8132774412119981
