question,target,response,ans_tok,token_probs,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,prom46_score,extracted_prom46_score,infosel_logit
Which American-born Sinclair won the Nobel Prize for Literature in 1930?,'(Harry) Sinclair Lewis', Eugene O'Neill,"[' Eug', 'ene', ' O', ""'"", 'Ne', 'ill', '']","[0.7499088001057328, 0.9999953508594288, 0.9999998807907248, 1.0, 0.9999986886995842, 1.0, 0.9982285939652842]",0.9594750544954714,Eugene O'Neill,"['Eug', 'ene', 'O', ""'"", 'Ne', 'ill']",0.953164008352506,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is 'Sinclair Lewis', while the response is 'Eugene O'Neill'. These two individuals are different American-born authors, and neither of them is the correct answer to the instruction. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0,0.0
Where in England was Dame Judi Dench born?,'Park Grove (1895)'," York! (specifically York, North Yorkshire)

(Note: While she was born in York, she grew up in Yorkshire, so both are correct but the question asks for her birthplace.)","[' York', '!', ' (', 'specific', 'ally', ' York', ',', ' North', ' York', 'shire', ')', '\n', '\n', '(', 'Note', ':', ' While', ' she', ' was', ' born', ' in', ' York', ',', ' she', ' grew', ' up', ' in', ' York', 'shire', ',', ' so', ' both', ' are', ' correct', ' but', ' the', ' question', ' asks', ' for', ' her', ' birth', 'place', '.)', '']","[0.998492965746666, 0.9964136223721209, 0.99993038662092, 0.5864279458296934, 0.9999997615814777, 0.06432341031043089, 0.9999995231630692, 0.43782000353267214, 1.0, 1.0, 0.7549147422790545, 0.9987413056987242, 0.7920335631445492, 0.9972179065251752, 0.9909675856106546, 0.9996534595153219, 0.6186338400919462, 0.6756794125633423, 0.9999440939703319, 0.851603513978261, 0.9999995231630692, 0.9961013794428033, 0.9999966621509202, 0.9983563066418176, 0.9492209265898984, 1.0, 0.9922384376889845, 0.7218593732467372, 0.9999686489394302, 0.5442173651011375, 0.5623598900593424, 0.815461778882774, 0.3722667853070498, 0.9205065051236679, 0.04981754840022005, 0.27751266051096957, 0.9918732119277555, 0.7065820152604708, 0.9822835257460011, 0.8544994227188442, 0.9991728953687892, 0.9761526717994287, 0.6571995428794579, 0.9999991655356624]",0.7311767165761021,"York (specifically York, North Yorkshire)

(Note: While she was born in York, she grew up in Yorkshire, so both are correct but the question asks for her birthplace.)","['(', 'specific', 'ally', 'York', ',', 'North', 'York', 'shire', ')', '(', 'Note', 'While', 'she', 'was', 'born', 'in', 'York', ',', 'she', 'grew', 'up', 'in', 'York', 'shire', ',', 'so', 'both', 'are', 'correct', 'but', 'the', 'question', 'asks', 'for', 'her', 'birth', 'place', '.)']",0.7003151225718113,"{'0.5': ""\n        The response correctly identifies York as the birthplace of Dame Judi Dench, which is semantically equivalent to the reference answer. However, the response does not provide the exact location within York, which is 'Park Grove'. Therefore, while the response is generally correct, it does not fully meet the criteria for a score of 1 as it lacks the specificity of the reference answer. [RESULT] 0.5""}",1.0,0.0
In which decade did Billboard magazine first publish and American hit chart?,"""30's"""," 1940s.

(Note: Billboard magazine first published the ""National List of Best Selling Retail Records"" in 1940, which later became the Hot 100 chart.)","[' ', '1', '9', '4', '0', 's', '.', '\n', '\n', '(', 'Note', ':', ' Bill', 'board', ' magazine', ' first', ' published', ' the', ' ""', 'National', ' List', ' of', ' Best', ' S', 'elling', ' Ret', 'ail', ' Records', '""', ' in', ' ', '1', '9', '4', '0', ',', ' which', ' later', ' became', ' the', ' Hot', ' ', '1', '0', '0', ' chart', '.)', '']","[0.9991947940627725, 0.9999998807907248, 1.0, 0.9997181494842626, 1.0, 1.0, 0.3337783536453369, 0.9994694426915008, 0.9753832419355143, 0.9866241437269424, 0.7742639465731267, 0.9999974966112362, 0.6108552919292659, 1.0, 0.9961802794997031, 0.9917051786981945, 0.9999430212054865, 0.5491598188518771, 0.9989675225958018, 0.21974881960985782, 0.7299036348830619, 0.9999929667012066, 0.9998017942419198, 0.9999719866022398, 0.9980732443617327, 0.9999669801176596, 0.9999904633477849, 0.9999905825550351, 0.9813808532820512, 0.9970702189625563, 0.9748749649160372, 1.0, 0.9999994039539004, 0.9999990463265931, 0.9999921322487635, 0.9787893011715666, 0.9205775187828101, 0.9030317736651733, 0.7767357635533648, 0.29415293428050354, 0.9264931583636536, 1.0, 1.0, 1.0, 1.0, 0.9769201301718343, 0.2698337744870073, 0.9999890328655275]",0.855874544713235,"1940s.

(Note: Billboard magazine first published the ""National List of Best Selling Retail Records"" in 1940, which later became the Hot 100 chart.)","['1', '9', '4', '0', 's', '(', 'Note', 'Bill', 'board', 'magazine', 'first', 'published', 'the', '""', 'National', 'List', 'of', 'Best', 'S', 'elling', 'Ret', 'ail', 'Records', '""', 'in', '1', '9', '4', '0', ',', 'which', 'later', 'became', 'the', 'Hot', '1', '0', '0', 'chart', '.)']",0.8538217753693894,"{0: '\n        The response provided is correct, as Billboard magazine first published the ""National List of Best Selling Retail Records"" in 1940, which later became the Hot 100 chart. However, the reference answer is incorrect, stating ""30\'s"" instead of the correct decade, ""40\'s"". Therefore, the response and reference answer are not semantically equivalent, and the score should be 0. [RESULT] 0'}",0.0,0.0
From which country did Angola achieve independence in 1975?,'Portogało', Portugal,"[' Portugal', '']","[0.9999986886995842, 0.9999998807907248]",0.9999992847449768,Portugal,['Portugal'],0.9999986886995842,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate that Angola achieved independence from Portugal in 1975. The response correctly identifies the country from which Angola gained independence, which aligns with the instruction provided. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0,0.0
Which city does David Soul come from?,'Chi-Beria'," Chicago, Illinois, USA (David Soul was actually born in Chicago, but he is best known for playing a character named ""Hutch"" from the TV show ""Starsky and Hutch,"" which is set in California.)","[' Chicago', ',', ' Illinois', ',', ' USA', ' (', 'David', ' Soul', ' was', ' actually', ' born', ' in', ' Chicago', ',', ' but', ' he', ' is', ' best', ' known', ' for', ' playing', ' a', ' character', ' named', ' ""', 'H', 'utch', '""', ' from', ' the', ' TV', ' show', ' ""', 'St', 'ars', 'ky', ' and', ' H', 'utch', ',""', ' which', ' is', ' set', ' in', ' California', '.)', '']","[0.960568255387942, 0.9999995231630692, 0.9998026283818595, 0.9924202712397269, 0.9992459741948378, 0.9999997615814777, 0.9484059561825727, 0.9999998807907248, 0.9999921322487635, 0.9947751998345021, 0.9999996423722521, 0.9999988079084972, 0.999713383835502, 0.9999929667012066, 0.9765263032810418, 0.9843526489596709, 0.8536263956265544, 0.9861506888693237, 0.9999998807907248, 1.0, 0.9398991095759242, 0.9091213336300503, 0.7898383059804692, 0.1474898056784714, 0.9999915362117303, 0.7966122348860245, 0.9999947548186583, 0.999998927117538, 0.49957323321074154, 0.9999969005680498, 0.997198583755975, 0.999043069951857, 0.9999417100552707, 1.0, 1.0, 1.0, 0.8519528492100928, 1.0, 1.0, 0.8731197446911506, 0.7318653037591374, 0.868543083013779, 0.4999429010585154, 1.0, 0.8156835586098193, 0.9967973610987415, 1.0]",0.8952501350364658,"Chicago, Illinois, USA (David Soul was actually born in Chicago, but he is best known for playing a character named ""Hutch"" from the TV show ""Starsky and Hutch,"" which is set in California.)","['Chicago', ',', 'Illinois', ',', 'USA', '(', 'David', 'Soul', 'was', 'actually', 'born', 'in', 'Chicago', ',', 'but', 'he', 'is', 'best', 'known', 'for', 'playing', 'a', 'character', 'named', '""', 'H', 'utch', '""', 'from', 'the', 'TV', 'show', '""', 'St', 'ars', 'ky', 'and', 'H', 'utch', ',""', 'which', 'is', 'set', 'in', 'California', '.)']",0.893099216011853,"{0: ""\n        The response provided is factually correct, stating that David Soul was born in Chicago, Illinois, USA. However, the reference answer is 'Chi-Beria', which is a fictional place and not a real city. Therefore, the response and reference answer are not semantically equivalent, and the score should be 0. [RESULT] 0""}",0.0,0.0
Who won Super Bowl XX?,'Chicago Bears', Chicago Bears,"[' Chicago', ' B', 'ears', '']","[0.6790717509279277, 1.0, 1.0, 0.401465914666582]",0.722588566997872,Chicago Bears,"['Chicago', 'B', 'ears']",0.8789656195701917,"{1: '\n        The response and reference answer are semantically equivalent, both indicating that the Chicago Bears won Super Bowl XX. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0,0.0
Which was the first European country to abolish capital punishment?,'Norvège'," Venezuela (then a Spanish colony) in 1811, but among independent countries, it was Portugal in 1867.","[' Venezuela', ' (', 'then', ' a', ' Spanish', ' colony', ')', ' in', ' ', '1', '8', '1', '1', ',', ' but', ' among', ' independent', ' countries', ',', ' it', ' was', ' Portugal', ' in', ' ', '1', '8', '6', '7', '.', '']","[0.9895986421521337, 0.995360305501545, 0.6593797514916023, 0.9999707945761903, 0.6908164271450147, 0.9999927282861518, 0.9857542507813071, 0.9997013507411288, 1.0, 1.0, 1.0, 0.9999996423722521, 0.999053897382161, 0.9997366168532913, 0.7395415649907445, 0.9610861637527307, 0.9932250572948864, 0.8058670662733818, 0.9998569693123998, 0.983432220839404, 0.9971418052189408, 0.9437236973251945, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999952316511553, 0.766630905265992]",0.9441289517575696,"Venezuela (then a Spanish colony) in 1811, but among independent countries, it was Portugal in 1867.","['Venezuela', '(', 'then', 'a', 'Spanish', 'colony', ')', 'in', '1', '8', '1', '1', ',', 'but', 'among', 'independent', 'countries', ',', 'it', 'was', 'Portugal', 'in', '1', '8', '6', '7']",0.9454292763952772,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that Norway was the first European country to abolish capital punishment, while the response provided states that Venezuela (then a Spanish colony) in 1811, but among independent countries, it was Portugal in 1867. This indicates that the response is incorrect and does not match the reference answer. Therefore, the score is 0. [RESULT] 0'}",0.0,0.0
In which country did he widespread use of ISDN begin in 1988?,'日本國', Germany,"[' Germany', '']","[1.0, 0.9990880469115103]",0.9995439194510216,Germany,['Germany'],1.0,"{0: '\n        The response and reference answer are not semantically equivalent. The reference answer states that the widespread use of ISDN began in Japan in 1988, while the response states that it began in Germany. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0,0.0
What is Bruce Willis' real first name?,'Walter (TV Series)', Walter,"[' Walter', '']","[0.9999102434642078, 0.7771909275104341]",0.8815447632112232,Walter,['Walter'],0.9999102434642078,"{0: ""\n        The response and reference answer are not semantically equivalent. The reference answer is a TV series, while the response is a person's name. The instruction asks for Bruce Willis' real first name, which is Walter. The response correctly identifies Bruce Willis' real first name, but it does not match the reference answer because the reference answer is not a person's name. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0,0.0
Which William wrote the novel Lord Of The Flies?,'Golding', William Golding,"[' William', ' Gold', 'ing', '']","[0.9987623531294958, 0.9999990463265931, 1.0, 0.9918809530157575]",0.9976548658834744,William Golding,"['William', 'Gold', 'ing']",0.999586962969366,"{1: '\n        The response and reference answer are semantically equivalent, as both correctly identify the author of Lord Of The Flies as William Golding. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0,0.0
